text,amount,category,payment_method,payment_provider,bank_account,text_source
gas bill ke paise 3686 kat gaye from Federal Bank,3686,utilities,unknown,,federal bank,hinglish
broadband bill 4962 done via Mobikwik,4962,utilities,upi,None,,english
"sister ka birthday gift, contributed 3338 through card",3338,,card,,,english
Monthly credit card EMI 30196 paid by debit card,30196,emi,card,,,english
13267 for credit card EMI paid via debit card,13267,emi,card,,,voice
42618 transferred for school fees course fee,42618,education,unknown,,,english
gas bill payment of 1550 using cred,1550,utilities,upi,cred,,ocr_receipt
broadband auto-debit of 218 from SBI,218,utilities,card,,sbi,ocr_receipt
Zara 6340.47 debit GPay RBL,6340.47,shopping,upi,gpay,rbl,ocr_receipt
INOX movie 1628 paid by cred,1628,entertainment,upi,null,,ocr_receipt
flatmate ko de diya 8411 rent ka hissa cash se,8411,friends,cash,,,voice
10098 ka bike loan EMI bhej diya card se,10098,emi,card,,,hinglish
Allen coaching course fee 3229 paid with cash.,3229,education,cash,,,ocr_upi
personal loan EMI ke liye 3851.75 ka payment kardia credit card pe,3851.75,emi,card,,,hinglish
  main home loan EMI ka installment 11857 paytm se de diya   ,11857,emi,upi,paytm,,voice
   gas bill recharge of 192 done via cash   ,192,utilities,cash,,,voice
17641.20 gone for Zara shopping,17641.20,shopping,unknown,,,english
2293 SonyLIV subscription auto-debit ho gaya via cred,2293,entertainment,upi,cred,,hinglish
Coursera ki book 54942 ki li BHIM se,54942,education,upi,bhim,,voice
Arjun recharge of 661 via phonepe.,661,friends,upi,phonepe,,ocr_upi
kharcha electronics store par 15304.59 ka cash se kiya,15304.59,shopping,cash,,,voice
FD ke liye 5404 invest kiya bhai,5404,investment,unknown,,,hinglish
Airtel recharge recharge ho gaya 3536 ka from Mobikwik,3536,utilities,upi,NA,,hinglish
UPI payment of 715 for rent via Paytm,715,utilities,upi,paytm,,ocr_upi
hospital ka bill 5602.74 bhim se,5602.74,healthcare,upi,bhim,,ocr_receipt
diagnostic center 16704 UPI CRED.,16704,healthcare,Upi,cred,,english
898 transferred for electricity bill using cred,898,utilities,upi,cred,,ocr_receipt
Behrouz 565 wala order cash se kiya,565,food,cash,,,english
Payment of 8895 to EMI successful on card,8895,emi,card,,,ocr_upi
main HP petrol ko 1827 pay kiya cash ke through,1827,travel,cash,,,voice
Mobikwik notification: 3577 paid to DTH recharge from Federal Bank,3577,utilities,upi,mobikwik,federal bank,ocr_upi
EMI for education loan EMI - 35452 using card,35452,emi,card,,,english
Transferred 9595.28 to my recurring deposit from Federal Bank.,9595.28,investment,unknown,,federal bank,english
Swiggy 1255.60 UPI BHIM,1255.60,food,upi,bhim,,ocr_receipt
phonepe se rent ka 2245.91 bhar diya,2245.91,utilities,upi,phonepe,,voice
Cab fare 2987 to Goibibo.,2987,travel,unknown,,,english
Amazon shopping: 468 paid with cash,468,nan,cash,,,ocr_upi
"Bhook lag rahi thi, Burger King se 483.99 ka order credit card se kiya",483.99,food,card,,,hinglish
Reliance Digital se 28063 ka bill pay kiya cash se,28063,shopping,cash,,,hinglish
Recharge for Airtel recharge 1996.47 via gpay,1996.47,utilities,upi,NA,,ocr_receipt
bhai ke saath food court mein khana khaya 955 ka bill debit card se,955,food,card,,,voice
"Priya sent 4864 for the cab, received on GPay",4864,friends,upi,gpay,,english
merchant se khana mangaya 2069 ka Jupiter card se payment,2069,food,card,,jupiter,voice
   maintenance ki bill 3995 pay ki Visa se  ,3995,utilities,card,,,english
aaj Allen coaching ke liye 9347.00 spend kiya MobiKwik se,9347.00,education,upi,mobikwik,,voice
lab test ka 21316 ka bill RBL ke card se pay,21316,healthcare,card,,rbl,hinglish
Monthly bike loan EMI payment of 32116 through Phone Pe,32116,utilities,upi,phonepe,,ocr_upi
mobile recharge bill 3281 done via PhonePe,3281,utilities,upi,phonepe,,english
   40.59 spent at BigBasket with bhim   ,40.59,food,upi,--,,ocr_upi
Reliance Digital 24977 debit cash IDFC First,24977,shopping,card,,idfc,ocr_receipt
Spent 28137.69 on a quick Reliance Digital order with Phone Pe,28137.69,shopping,upi,phonepe,,english
Ola journey cost 2458 paid by cash,2458,travel,cash,,,ocr_upi
EMI payment of 9190 done with card,9190,emi,card,,,english
Burger King pe 160 ka bill cash kiya,160,food,cash,,,hinglish
"installment due cleared, 37865 from credit card",37865,emi,card,,,english
MakeMyTrip toll charge 4422 gpay,4422,travel,Upi,null,,ocr_receipt
9495 spent on Rapido using cash,9495,travel,cash,,,voice
"2100 udd gaya Burger King pe khane mein, cash diya",2100,food,Cash,,,hinglish
7806 sent to roommate for weekend plan expenses using Google Pay,7806,friends,upi,gpay,,english
JioCinema ke liye 970 cash se,970,entertainment,cash,,,ocr_upi
aaj RedBus par 11975 kharcha hua card se,11975,travel,card,,,voice
"Books ke liye 34170.80 ka kharcha, card se",34170.80,education,card,,,hinglish
382 doctor pe kharch hua bhim se,382,healthcare,upi,bhim,,hinglish
Airtel recharge pe 3549 spend kiya using cred,3549,utilities,upi,cred,,hinglish
Had to pay Apollo Pharmacy 2142 using Google Pay from Kotak Mahindra.,2142,healthcare,upi,gpay,kotak,english
Booked IRCTC ticket for 1788.26 via cash.,1788.26,travel,cash,,,english
SonyLIV recharge 1571.45 Slice debit card,1571.45,entertainment,card,,slice,ocr_upi
"Split the hotel cost with Neha, my part 4541.54 GPay",4541.54,emi,upi,gpay,,english
Cleartrip ke liye 13488 cash se diya,13488,travel,cash,,,hinglish
  bhai home loan EMI ka installment 8823 pay kiya Canara Bank se  ,8823,emi,unknown,,canara,voice
Coursera coaching class 21704.32 from Punjab National Bank account,21704.32,education,unknown,,pnb,english
"Dinner bill split with Neha, my share 9307 on cash",9307,friends,cash,,,english
  bhai IndiGo ki ride 8244 cash diye   ,8244,travel,cash,,,voice
Educational material 30652 from tuition via Paytm,30652,education,upi,paytm,,ocr_receipt
AmazonPay se bike loan EMI ke 8992 pay kiye,8992,,upi,amazonpay,,hinglish
4822.56 to DTH recharge via PayTM,4822.56,utilities,upi,NA,,english
hospital ka 3840 ka bill Slice ke card se pay,3840,healthcare,card,,slice,hinglish
Payment of 54175 to coaching successful on Mobikwik.,54175,education,upi,mobikwik,,ocr_upi
Angel One ke liye 37746.30 ka payment GPay se kiya.,37746.30,investment,upi,gpay,,english
DTH recharge ka bill 670 amazon pay se diya,670,utilities,Upi,amazonpay,,hinglish
"   Dinner bill split with Sneha, my share 8084.67 on cash   ",8084.67,friends,Cash,,,english
mobile recharge ke liye 1934 ka payment on debit card,1934,utilities,card,,,ocr_upi
Mastercard se electricity bill ko 2160 transfer kiya,--,utilities,card,,,hinglish
electricity bill auto-debit of 2456 from YES BANK,2456,utilities,card,,yes bank,ocr_receipt
Spotify ke live concert ke liye 599 pay kiye GPay se,599,entertainment,upi,None,,hinglish
Deducted 13315.71 for credit card EMI from IndusInd account,13315.71,emi,card,,indusind,english
rent ka 3416 ka bill auto-debit ho gaya cred se,3416,utilities,upi,cred,,hinglish
"  7058 ka petrol Indian Oil pe bharaya, BHIM se payment  ",7058,travel,upi,bhim,,hinglish
bhim to checkup for 1076.,1076,healthcare,upi,bhim,,english
Flipkart pe shopping kiye 12998.30 PhonePe se,12998.30,shopping,upi,phonepe,,hinglish
"credit card EMI kharcha, 25737.80 via Mobikwik",25737.80,emi,upi,mobikwik,,ocr_upi
"469.39 debit hua BookMyShow ke liye, payment method amazon pay",469.39,entertainment,upi,amazonpay,,hinglish
school fees ke liye 33366 pay kiye Canara card se,33366,education,card,,canara,hinglish
21159 ki bike loan EMI bhari PNB ke through,21159,emi,unknown,,pnb,hinglish
BookMyShow ke liye 1039 ka payment cash se kiya,1039,entertainment,cash,,,english
Food expense at KFC 437 by Paytm,437,food,upi,None,,english
MobiKwik se concert ki annual plan leli worth 1079,1079,entertainment,upi,None,,hinglish
"Went to INOX, spent 2832.23, paid by debit card",2832.23,entertainment,card,,,english
"Yaar, car loan EMI ka paisa 4943.75 kat gaya IDFC First se",4943.75,emi,unknown,,idfc,hinglish
returned friend my share 9265 on cred,9265,friends,upi,cred,,voice
INOX ke liye 2403 ka payment Google Pay se kiya,2403,None,upi,gpay,,hinglish
Biryani Blues ko 2355 diya credit card se,2355,food,card,,,hinglish
FirstCry checkout 5872.94 cash,5872.94,shopping,cash,,,ocr_receipt
lab test ka bill 9610 cash pe clear kiya,9610,healthcare,cash,,,hinglish
PPF ko 32611.72 transfer kiya cred ke through,32611.72,investment,UPI,cred,,hinglish
Mobikwik se DTH recharge ko 939 transfer kiya,939,utilities,UPI,mobikwik,,hinglish
Spotify for 247 using card,247,entertainment,card,,,ocr_upi
electronics store order 1285.44 paid by GPay,1285.44,shopping,upi,nan,,english
Goibibo pe 5895.92 spend kiye using YES BANK UPI,5895.92,travel,unknown,,yes bank,hinglish
32936 gone for bike loan EMI,32936,emi,unknown,,,english
34450 invested in Angel One through Axis,34450,investment,unknown,,axis,ocr_upi
cash ke through Ajio ko 5852 diya,5852,shopping,cash,,,hinglish
   Shopped at Nykaa for 13690  ,13690,shopping,unknown,,,english
"Bhook lag rahi thi, JioMart se 883.91 ka order cash se kiya",883.91,food,cash,,,hinglish
197 INOX ki membership renew kardi amazon pay pe se,197,entertainment,upi,amazonpay,,hinglish
apne ICICI account se dentist ko 11915 transfer kiya,11915,healthcare,unknown,,icici,voice
19949 sent to fees for coaching using CRED.,19949,education,upi,cred,,ocr_upi
Airtel recharge bill pay 2370 BHIM,2370,utilities,UPI,bhim,,ocr_receipt
bike loan EMI ke liye 18042 ka payment kardia CRED pe,18042,emi,upi,cred,,hinglish
concert ka monthly charge 1103 dedo Axis card se,1103,entertainment,card,,axis,hinglish
--,3458.87,investment,upi,phonepe,,ocr_upi
HP petrol par 1069.20 spend via Mastercard from Niyo,1069.20,travel,card,,niyo,ocr_upi
4569 paid towards personal loan EMI through Mastercard,4569,emi,card,,,ocr_upi
Angel One ko 3579 transfer kiya CRED ke through,3579,investment,upi,cred,,hinglish
kharcha electronics store par 16045 ka Mastercard se kiya,16045,shopping,card,,,voice
"3205 SpiceJet ko diya for booking, paid via MobiKwik",3205,travel,upi,mobikwik,,hinglish
1194 Flipkart ko diya cash se,1194,shopping,cash,,,voice
14228.22 Meesho ko diya cash se,14228.22,shopping,cash,,,voice
MedPlus ka bill 20997 GPay se,20997,healthcare,upi,null,,ocr_receipt
Paid 21209 to FirstCry via AmazonPay,21209,shopping,upi,None,,ocr_upi
Starbucks bill paid 2339 via bhim,2339,food,upi,bhim,,english
Auto-pay for crypto 46318 via MobiKwik,46318,investment,upi,mobikwik,,ocr_receipt
29867 spent on books using BHIM,29867,education,upi,bhim,,english
"food court pe food delivery, 2019 ka payment done via CRED",2019,food,upi,--,,hinglish
"Ananya ne 6881 maanga tha, wapas kiya bhim pe",6881,friends,Upi,bhim,,hinglish
Chipped in 6548 for flatmate's gift via Paytm,6548,friends,upi,--,,english
4297 paid via bhim for gas bill services,4297,utilities,upi,bhim,,ocr_upi
bhai ne manga liya Zara se 19763 PayTM kiya,19763,shopping,upi,paytm,,voice
Monthly personal loan EMI of 19405.74 paid via Visa,19405.74,emi,card,,,hinglish
"home loan EMI kharcha, 30561 via card",30561,emi,card,,,ocr_upi
sovereign gold bond mein 37313 add kiya paytm se,37313,nan,upi,nan,,hinglish
Zomato Gold movie tickets 1844 AmazonPay,1844,entertainment,upi,amazonpay,,ocr_upi
cash se stationery ko 37079,37079,education,cash,,,english
"sister paid me back 6684.49 for the concert, got it in BOB via cash",6684.49,friends,cash,,bob,english
PhonePe to hospital for 18217.,18217,healthcare,upi,phonepe,,english
Airtel recharge payment 4084 Mobikwik,4084,utilities,upi,mobikwik,,english
SpiceJet se 2130 ka bill clear kiya GPay ke through,2130,travel,upi,gpay,,hinglish
concert subscription 1374 dedo using Paytm,1374,entertainment,upi,paytm,,voice
"Karan ka birthday treat, 2339 contribute kiya cash",2339,friends,cash,,,hinglish
Quick bite at Behrouz 2425 with SBI Google Pay,2425,food,upi,gpay,sbi,english
"Priya paid me back 3831.62 for the concert, got it in Fi Money via BHIM",3831.62,friends,upi,bhim,fi,english
"Sneha me 895 udhaar diya, cred se",895,friends,upi,cred,,english
Airtel recharge ka bill 802 Visa se diya,802,utilities,card,,,hinglish
Bewakoof order for 6747 using CRED,6747,shopping,upi,cred,,ocr_upi
Hotstar membership renewal 2580.58 via cash,2580.58,entertainment,cash,,,english
Goibibo ki booking karne pe 3968.42 lag gaye GPay se,3968.42,travel,upi,gpay,,hinglish
PVR annual plan 1533 from Axis account,1533,entertainment,unknown,,axis,english
petrol pump recharge 1175 from Federal Bank account via credit card,1175,travel,card,,federal bank,voice
mobile recharge pe 4961.13 spend kiya using PhonePe,4961.13,utilities,upi,phonepe,,hinglish
home loan EMI of 9421 paid via Mastercard,9421,investment,card,,,ocr_upi
Paid 5429.64 for bike loan EMI using bhim,5429.64,emi,upi,bhim,,ocr_upi
Karan ki shaadi ka gift 665.42 debit card se bheja,665.42,friends,card,,,hinglish
Auto-pay for stocks 4884 via gpay,4884,investment,upi,gpay,,ocr_receipt
Auto-payment for EMI 20649.48 by PayTM,20649.48,travel,upi,paytm,,ocr_receipt
metro par 4476 spend via CRED from Axis Bank,4476,travel,upi,NA,axis,ocr_upi
Tuition fee 53107 paid to Allen coaching with Visa.,53107,education,card,,,ocr_upi
upGrad ka payment 35735 Google Pay se kar diya,35735,education,upi,gpay,,voice
bhai movie ticket ke liye 967 card se book kiya Apple Music pe,967,entertainment,card,,,hinglish
dentist pe 2967 ka payment Fi card se,2967,healthcare,card,,fi,hinglish
SpiceJet ki app se 7426.63 ka ticket liya cash se,7426.63,travel,cash,,,hinglish
Sneha ke saath dinner ka hissa 2541 cash kiya,2541,friends,cash,,,hinglish
tuition coaching class 11444 from Federal Bank account,11444,education,unknown,,federal bank,english
Jio recharge for 990 using phonepe from BOB,990,utilities,upi,phonepe,bob,english
DTH recharge ke liye 1947.92 ka payment kiya cred se,1947.92,utilities,upi,cred,,hinglish
2923 deducted for JioCinema subscription,2923,entertainment,unknown,,,english
Visa se Coursera ka 5389 ka bill pay kiya.,5389,education,card,,,ocr_upi
Paid 6712 for credit card EMI using debit card,6712,emi,card,,,ocr_upi
"Bhai, wifi bill ka bill clear kar diya 1624 ka, Indusind Bank ke card se",1624,utilities,card,,indusind,hinglish
24981.31 EMI ke liye Fi se pay kiya,24981.31,emi,unknown,,fi,hinglish
brother ki shaadi ka gift 3302.65 cash se bheja,3302.65,friends,cash,,,hinglish
4604.26 eye clinic pe kharch hua MobiKwik se,4604.26,healthcare,upi,mobikwik,,hinglish
education loan EMI ka 29479 credit card se diya,29479,emi,card,,,hinglish
Yatra booking for 13414 using PhonePe,13414,travel,upi,phonepe,,ocr_upi
mall 5879.24 UPI Amazon Pay,5879.24,shopping,Upi,amazonpay,,ocr_receipt
aaj Jio recharge pay kiya 160 from,160,utilities,unknown,,,voice
"Kharcha hua FirstCry pe 29862, cash use kiya",29862,shopping,cash,,,hinglish
2010.47 BookMyShow subscription ke liye de diye,2010.47,entertainment,unknown,,,hinglish
i just put 27735 in gold from PNB,27735,investment,unknown,,pnb,voice
roommate bhai ko 7692 bej diya Paytm pe,7692,friends,upi,paytm,,hinglish
"Zomato meal, paid 673 via amazon pay",673,food,upi,--,,ocr_upi
gas bill ki bill 4477 pay ki Mastercard se,4477,utilities,card,,,english
gas bill ke liye 1838 ka payment kiya BHIM se,1838,utilities,upi,bhim,,hinglish
12167 Yatra driver ko cash diya,12167,travel,cash,,,hinglish
cash se Coursera ko 34213.19,34213.19,education,cash,,,english
fees coaching ka advance 2539 dedo,2539,education,unknown,,,hinglish
Bus ticket on Indian Oil for 2789.,2789,travel,unknown,,,english
Paid 5159 for a Tata CLiQ delivery,5159,shopping,unknown,,,english
48305 sent to school fees for coaching using debit card.,48305,education,card,,,ocr_upi
bhai Spotify ka bill 2586 de diya card pe,1234567,entertainment,card,,,voice
"flatmate ke liye book mangaayi, 3910 advance diya",3910,friends,unknown,,,hinglish
"Bewakoof ka order 1215 mein, paid by CRED",1215,emi,upi,cred,,hinglish
Apollo Pharmacy ka 842.14 ka bill ke card se pay,842.14,healthcare,card,,,hinglish
   Paid Allen coaching fees 36231 via cash  ,36231,education,cash,,,english
fees 52664 fees ko diya cash,52664,education,cash,,,voice
paid 31559.85 for gold via CRED,31559.85,investment,upi,cred,,voice
Bill payment for broadband of 1315 via PhonePe,--,utilities,upi,phonepe,,ocr_upi
"3024 ka petrol Indian Oil pe bharaya, phonepe se payment",3024,travel,upi,phonepe,,hinglish
Paid 25241.32 for online course on school fees via PhonePe.,25241.32,education,upi,nan,,ocr_upi
brother bhai ko 3979 bej diya gpay pe,3979,friends,upi,gpay,,hinglish
15155 for installment paid from Niyo,15155,emi,unknown,,niyo,hinglish
Spent 2250.72 on petrol pump from,2250.72,travel,unknown,,,ocr_receipt
coaching 7457.72 UPI paytm,7457.72,travel,upi,,,ocr_receipt
"dhaba se biryani mangwai, 1580 pay kiya IndusInd card se",1580,food,card,,indusind,hinglish
29444.36 invested in NPS today.,29444.36,investment,unknown,,,english
MedPlus consultation fee 23326 cash pe.,23326,healthcare,cash,,,english
Angel One pe 35092.15 ka order confirm MobiKwik se,35092.15,investment,upi,mobikwik,,hinglish
27806 stationery coaching fee paytm se,27806,education,upi,paytm,,voice
Shopped at Amazon for 18097,18097,shopping,unknown,,,english
   Food expense at McDonald's 1654 by debit card  ,1654,food,card,,,english
FirstCry order 9083 paid by cash,9083,shopping,cash,,,english
Groww pe 49152.59 ka order confirm Google Pay se,49152.59,investment,upi,gpay,,hinglish
bike loan EMI ka 20666 debit card se diya,20666,emi,Card,,,hinglish
Monthly NPS auto-debit of 46496 via CRED.,46496,investment,upi,cred,,english
flatmate ko de diya 2906.12 rent ka hissa CRED se,2906.12,friends,upi,cred,,voice
UPI payment to Steam for 2615 via cash,2615,entertainment,Cash,,,ocr_upi
Spotify mein 937 ka payment cash se,937,entertainment,cash,,,ocr_receipt
Spent 3832 on Yatra from Union Bank,3832,travel,unknown,,union bank,ocr_receipt
MakeMyTrip journey cost 7875 paid by GPay,7875,travel,upi,None,,ocr_upi
Rahul ki shaadi ka gift 2637 cash se bheja,2637,friends,cash,,,hinglish
   Debited 24306.71 for home loan EMI via Visa  ,24306.71,emi,card,,,ocr_upi
"For roommate's treat, paid 365 by cash from HDFC",365,friends,cash,,hdfc,english
amazon pay se Allen coaching ka 1741.38 ka bill pay kiya.,1741.38,education,upi,amazonpay,,ocr_upi
Set up education loan EMI auto-debit for 21459 from Jupiter,21459,emi,card,,jupiter,ocr_receipt
"Yaar, JioMart ka bill 1295.90 aaya, credit card se clear kiya",1295.90,food,card,,,hinglish
Spent 1813.08 on Apple Music with cash,1813.08,entertainment,cash,,,ocr_upi
"tuition ko 58742.51 bheje, cash diya",58742.51,education,cash,,,hinglish
   upGrad course ke liye 32059 credit card kiya  ,32059,education,CARD,,,voice
"Bhai, Airtel recharge ka bill clear kar diya 2171.32 ka, Fi ke card se",2171.32,utilities,card,,fi,hinglish
stationery ke liye 48145 ka payment cash se kiya.,48145,education,cash,,,ocr_upi
Payment of 690 to auto successful on amazon pay,690,travel,upi,amazonpay,,ocr_upi
"   maintenance ke liye cash diya 4617 ki, baad me cash se adjust karunga   ",4617,utilities,cash,,,hinglish
Sent 11094 for petrol pump via GPay from Yes Bank.,11094,travel,upi,gpay,yes bank,english
Monthly Zomato Gold subscription 212 by MobiKwik,212,entertainment,upi,mobikwik,,english
"  5747.02 for Meesho order, payment cash se hui  ",5747.02,shopping,cash,,,hinglish
"Udemy se material mangaya, 49256 diye gpay se",49256,education,upi,gpay,,hinglish
--,10845,education,Upi,amazonpay,,hinglish
flatmate paid back 814 via cash,814,friends,Cash,,,ocr_receipt
Payment to Croma for 6232 via cred from,6232,shopping,upi,,,english
bike loan EMI ka bill 24777.74 clear kiya BHIM ke through,24777.74,emi,upi,bhim,,voice
Chai-samosa ke liye Starbucks mein 2317 spend kiye cred pe,2317,food,upi,cred,,hinglish
sister ki shaadi ka gift 220.25 AmazonPay se bheja,220.25,friends,upi,amazonpay,,hinglish
Auto debit for home loan EMI of 27277 from,27277,emi,card,,,english
9533 spent on Indian Oil travel with cash,9533,travel,cash,,,ocr_upi
13309.63 stationery coaching fee paytm se,13309.63,education,upi,paytm,,voice
PPF SIP deduction of 39990.92 by cred.,39990.92,travel,upi,cred,,english
"Lunch at cafe for 843, paid by Mobikwik",843,food,upi,mobikwik,,hinglish
FD mein 34003 add kiye using gpay,34003,investment,upi,gpay,,voice
bhai Steam ka bill 2218 de diya cash pe,2218,entertainment,cash,,,voice
Spotify pe 2567 lagaye for prime membership using cred,2567,entertainment,upi,cred,,hinglish
mobile recharge recharge for 4444 using AmazonPay from IDFC,4444,utilities,upi,amazonpay,idfc,ocr_upi
Education fee 57740 paid to tuition using card from PNB.,57740,education,card,,pnb,ocr_upi
Angel One ke liye 26980 invest kiya bhai,26980,investment,unknown,,,hinglish
   Rahul ke saath dinner ka hissa 2423 cash kiya  ,2423,friends,cash,,,hinglish
"Zepto pe khana 1364.99, UPI cash",1364.99,food,cash,,,english
IRCTC fuel fill 9103 mobikwik se,9103,travel,upi,mobikwik,,ocr_receipt
"Rahul me 1946 udhaar diya, phonepe se",1946,friends,upi,phonepe,,english
Meesho pe shopping kiye 10878 phonepe se,10878,travel,upi,phonepe,,hinglish
aaj Bewakoof par kharcha 1103 Mobikwik,1103,shopping,upi,NA,,voice
RedBus ki cab ke 4691 cash se transfer kar diye,4691,travel,cash,,,hinglish
mobile recharge ke liye 282.52 ka payment on phonepe,282.52,utilities,upi,phonepe,,ocr_upi
aaj upGrad ko 17554.65 bheja cred ke through,17554.65,education,upi,cred,,voice
Recharged Apple Music for 2605 on gpay,2605,entertainment,upi,gpay,,english
"1853 maintenance ke liye de diye yaar, cash se",1853,utilities,cash,,,hinglish
Paid 3127.96 to electricity bill from IDFC First using phonepe,3127.96,utilities,upi,null,idfc,ocr_receipt
Amazon Pay se bike loan EMI ke 2716.95 pay kiye,2716.95,emi,upi,amazonpay,,hinglish
Visa through Slice for Flipkart 25888,25888,shopping,card,,slice,ocr_upi
EMI for EMI - 7628 using paytm,7628,emi,upi,None,,english
Paid 4030 for maintenance using amazon pay,4030,utilities,Upi,amazonpay,,ocr_upi
SpiceJet booking amount 7440.25 with Federal Bank Google Pay,7440.25,travel,upi,gpay,federal bank,ocr_receipt
renewed Netflix for 2437 rupees used Paytm,2437,entertainment,upi,paytm,,voice
